trx_id,sk_order,sk_product,product_name,product_category,product_discontinued,sk_customers,customer_companyname,customer_title,sk_supplier,supplier_companyname,sk_employee,employee_name,employee_title,sk_shipper,ship_city,ship_country,ship_region,shipped_date,shipper_companyname,sk_orderdate,tanggal,tahun_angka,bulan,kuartal,hari_dalam_bulan_angka,unitprice,quantity,discount,freight,amount
126,47,43,Ipoh Coffee,Beverages,Not Discontinued,65,Rattlesnake Canyon Grocery,Assistant Sales Representative,21,Leka Trading,4,Mrs. Margaret Peacock,Sales Representative,2,Albuquerque,United States of America,New Mexico,1996/09/05 00:00:00.000000000,United Package,19960830,1996/08/30 00:00:00.000000000,1996,August,Q3,30,36.8,15,0.0,147.26,555
127,47,60,Camembert Pierrot,Dairy Products,Not Discontinued,65,Rattlesnake Canyon Grocery,Assistant Sales Representative,28,Gai pâturage,4,Mrs. Margaret Peacock,Sales Representative,2,Albuquerque,United States of America,New Mexico,1996/09/05 00:00:00.000000000,United Package,19960830,1996/08/30 00:00:00.000000000,1996,August,Q3,30,27.2,21,0.0,147.26,567
128,47,75,Rhönbräu Klosterbier,Beverages,Not Discontinued,65,Rattlesnake Canyon Grocery,Assistant Sales Representative,3,Plutzer Lebensmittelgroßmärkte AG,4,Mrs. Margaret Peacock,Sales Representative,2,Albuquerque,United States of America,New Mexico,1996/09/05 00:00:00.000000000,United Package,19960830,1996/08/30 00:00:00.000000000,1996,August,Q3,30,6.2,6,0.0,147.26,36
154,58,18,Carnarvon Tigers,Seafood,Not Discontinued,55,Old World Delicatessen,Sales Representative,10,"Pavlova, Ltd.",8,Ms. Laura Callahan,Inside Sales Coordinator,3,Anchorage,United States of America,Alaska,1996/10/09 00:00:00.000000000,Federal Shipping,19960913,1996/09/13 00:00:00.000000000,1996,September,Q3,13,50.0,25,0.1,257.62,1250
155,58,29,Thüringer Rostbratwurst,Meat/Poultry,Discontinued,55,Old World Delicatessen,Sales Representative,3,Plutzer Lebensmittelgroßmärkte AG,8,Ms. Laura Callahan,Inside Sales Coordinator,3,Anchorage,United States of America,Alaska,1996/10/09 00:00:00.000000000,Federal Shipping,19960913,1996/09/13 00:00:00.000000000,1996,September,Q3,13,99.0,25,0.1,257.62,2475
156,58,39,Chartreuse verte,Beverages,Not Discontinued,55,Old World Delicatessen,Sales Representative,19,Aux joyeux ecclésiastiques,8,Ms. Laura Callahan,Inside Sales Coordinator,3,Anchorage,United States of America,Alaska,1996/10/09 00:00:00.000000000,Federal Shipping,19960913,1996/09/13 00:00:00.000000000,1996,September,Q3,13,14.4,30,0.1,257.62,420
160,60,62,Tarte au sucre,Confections,Not Discontinued,48,Lonesome Pine Restaurant,Sales Manager,29,Forêts d'érables,2,Dr. Andrew Fuller,"Vice President, Sales",2,Portland,United States of America,Oregon,1996/09/25 00:00:00.000000000,United Package,19960917,1996/09/17 00:00:00.000000000,1996,September,Q3,17,39.4,10,0.0,0.56,390
161,60,68,Scottish Longbreads,Confections,Not Discontinued,48,Lonesome Pine Restaurant,Sales Manager,11,"Specialty Biscuits, Ltd.",2,Dr. Andrew Fuller,"Vice President, Sales",2,Portland,United States of America,Oregon,1996/09/25 00:00:00.000000000,United Package,19960917,1996/09/17 00:00:00.000000000,1996,September,Q3,17,10.0,3,0.0,0.56,30
169,63,16,Pavlova,Confections,Not Discontinued,77,The Big Cheese,Marketing Manager,10,"Pavlova, Ltd.",8,Ms. Laura Callahan,Inside Sales Coordinator,2,Portland,United States of America,Oregon,1996/09/27 00:00:00.000000000,United Package,19960920,1996/09/20 00:00:00.000000000,1996,September,Q3,20,13.9,10,0.0,17.52,140
170,63,62,Tarte au sucre,Confections,Not Discontinued,77,The Big Cheese,Marketing Manager,29,Forêts d'érables,8,Ms. Laura Callahan,Inside Sales Coordinator,2,Portland,United States of America,Oregon,1996/09/27 00:00:00.000000000,United Package,19960920,1996/09/20 00:00:00.000000000,1996,September,Q3,20,39.4,5,0.0,17.52,195
178,67,32,Mascarpone Fabioli,Dairy Products,Not Discontinued,65,Rattlesnake Canyon Grocery,Assistant Sales Representative,4,Formaggi Fortini s.r.l.,1,Ms. Nancy Davolio,Sales Representative,2,Albuquerque,United States of America,New Mexico,1996/10/04 00:00:00.000000000,United Package,19960925,1996/09/25 00:00:00.000000000,1996,September,Q3,25,25.6,40,0.1,74.16,1040
179,67,58,Escargots de Bourgogne,Seafood,Not Discontinued,65,Rattlesnake Canyon Grocery,Assistant Sales Representative,27,Escargots Nouveaux,1,Ms. Nancy Davolio,Sales Representative,2,Albuquerque,United States of America,New Mexico,1996/10/04 00:00:00.000000000,United Package,19960925,1996/09/25 00:00:00.000000000,1996,September,Q3,25,10.6,30,0.1,74.16,330
180,67,62,Tarte au sucre,Confections,Not Discontinued,65,Rattlesnake Canyon Grocery,Assistant Sales Representative,29,Forêts d'érables,1,Ms. Nancy Davolio,Sales Representative,2,Albuquerque,United States of America,New Mexico,1996/10/04 00:00:00.000000000,United Package,19960925,1996/09/25 00:00:00.000000000,1996,September,Q3,25,39.4,25,0.1,74.16,975
183,69,41,Jack's New England Clam Chowder,Seafood,Not Discontinued,65,Rattlesnake Canyon Grocery,Assistant Sales Representative,20,New England Seafood Cannery,1,Ms. Nancy Davolio,Sales Representative,3,Albuquerque,United States of America,New Mexico,1996/10/08 00:00:00.000000000,Federal Shipping,19960927,1996/09/27 00:00:00.000000000,1996,September,Q3,27,7.7,10,0.0,150.15,80
184,69,62,Tarte au sucre,Confections,Not Discontinued,65,Rattlesnake Canyon Grocery,Assistant Sales Representative,29,Forêts d'érables,1,Ms. Nancy Davolio,Sales Representative,3,Albuquerque,United States of America,New Mexico,1996/10/08 00:00:00.000000000,Federal Shipping,19960927,1996/09/27 00:00:00.000000000,1996,September,Q3,27,39.4,70,0.0,150.15,2730
185,70,1,Chai,Beverages,Discontinued,48,Lonesome Pine Restaurant,Sales Manager,11,"Specialty Biscuits, Ltd.",6,Mr. Michael Suyama,Sales Representative,1,Portland,United States of America,Oregon,1996/10/10 00:00:00.000000000,Speedy Express,19960930,1996/09/30 00:00:00.000000000,1996,September,Q3,30,14.4,20,0.0,12.69,280
197,77,16,Pavlova,Confections,Not Discontinued,71,Save-a-lot Markets,Sales Representative,10,"Pavlova, Ltd.",9,Ms. Anne Dodsworth,Sales Representative,1,Boise,United States of America,Idaho,1996/10/10 00:00:00.000000000,Speedy Express,19961008,1996/10/08 00:00:00.000000000,1996,October,Q4,8,13.9,21,0.15,214.27,294
198,77,35,Steeleye Stout,Beverages,Not Discontinued,71,Save-a-lot Markets,Sales Representative,17,Bigfoot Breweries,9,Ms. Anne Dodsworth,Sales Representative,1,Boise,United States of America,Idaho,1996/10/10 00:00:00.000000000,Speedy Express,19961008,1996/10/08 00:00:00.000000000,1996,October,Q4,8,14.4,70,0.15,214.27,980
199,77,46,Spegesild,Seafood,Not Discontinued,71,Save-a-lot Markets,Sales Representative,22,Lyngbysild,9,Ms. Anne Dodsworth,Sales Representative,1,Boise,United States of America,Idaho,1996/10/10 00:00:00.000000000,Speedy Express,19961008,1996/10/08 00:00:00.000000000,1996,October,Q4,8,9.6,30,0.0,214.27,300
200,77,59,Raclette Courdavault,Dairy Products,Not Discontinued,71,Save-a-lot Markets,Sales Representative,28,Gai pâturage,9,Ms. Anne Dodsworth,Sales Representative,1,Boise,United States of America,Idaho,1996/10/10 00:00:00.000000000,Speedy Express,19961008,1996/10/08 00:00:00.000000000,1996,October,Q4,8,44.0,40,0.15,214.27,1760
201,77,63,Vegie-spread,Condiments,Not Discontinued,71,Save-a-lot Markets,Sales Representative,10,"Pavlova, Ltd.",9,Ms. Anne Dodsworth,Sales Representative,1,Boise,United States of America,Idaho,1996/10/10 00:00:00.000000000,Speedy Express,19961008,1996/10/08 00:00:00.000000000,1996,October,Q4,8,35.1,80,0.15,214.27,2800
217,82,19,Teatime Chocolate Biscuits,Confections,Not Discontinued,75,Split Rail Beer & Ale,Sales Manager,11,"Specialty Biscuits, Ltd.",4,Mrs. Margaret Peacock,Sales Representative,2,Lander,United States of America,Wyoming,1996/10/23 00:00:00.000000000,United Package,19961015,1996/10/15 00:00:00.000000000,1996,October,Q4,15,7.3,10,0.05,191.67,70
218,82,30,Nord-Ost Matjeshering,Seafood,Not Discontinued,75,Split Rail Beer & Ale,Sales Manager,15,Nord-Ost-Fisch Handelsgesellschaft mbH,4,Mrs. Margaret Peacock,Sales Representative,2,Lander,United States of America,Wyoming,1996/10/23 00:00:00.000000000,United Package,19961015,1996/10/15 00:00:00.000000000,1996,October,Q4,15,20.7,8,0.05,191.67,168
219,82,38,Côte de Blaye,Beverages,Not Discontinued,75,Split Rail Beer & Ale,Sales Manager,19,Aux joyeux ecclésiastiques,4,Mrs. Margaret Peacock,Sales Representative,2,Lander,United States of America,Wyoming,1996/10/23 00:00:00.000000000,United Package,19961015,1996/10/15 00:00:00.000000000,1996,October,Q4,15,210.8,20,0.05,191.67,4220
220,82,56,Gnocchi di nonna Alice,Grains/Cereals,Not Discontinued,75,Split Rail Beer & Ale,Sales Manager,26,Pasta Buttini s.r.l.,4,Mrs. Margaret Peacock,Sales Representative,2,Lander,United States of America,Wyoming,1996/10/23 00:00:00.000000000,United Package,19961015,1996/10/15 00:00:00.000000000,1996,October,Q4,15,30.4,12,0.05,191.67,360
242,91,17,Alice Mutton,Meat/Poultry,Discontinued,55,Old World Delicatessen,Sales Representative,10,"Pavlova, Ltd.",4,Mrs. Margaret Peacock,Sales Representative,3,Anchorage,United States of America,Alaska,1996/10/29 00:00:00.000000000,Federal Shipping,19961025,1996/10/25 00:00:00.000000000,1996,October,Q4,25,31.2,20,0.0,84.21,620
243,91,30,Nord-Ost Matjeshering,Seafood,Not Discontinued,55,Old World Delicatessen,Sales Representative,15,Nord-Ost-Fisch Handelsgesellschaft mbH,4,Mrs. Margaret Peacock,Sales Representative,3,Anchorage,United States of America,Alaska,1996/10/29 00:00:00.000000000,Federal Shipping,19961025,1996/10/25 00:00:00.000000000,1996,October,Q4,25,20.7,15,0.0,84.21,315
259,97,4,Chef Anton's Cajun Seasoning,Condiments,Not Discontinued,89,White Clover Markets,Owner,1,New Orleans Cajun Delights,4,Mrs. Margaret Peacock,Sales Representative,2,Seattle,United States of America,Washington,1996/11/05 00:00:00.000000000,United Package,19961101,1996/11/01 00:00:00.000000000,1996,November,Q4,1,17.6,35,0.0,23.29,630
260,97,8,Northwoods Cranberry Sauce,Condiments,Not Discontinued,89,White Clover Markets,Owner,7,Grandma Kelly's Homestead,4,Mrs. Margaret Peacock,Sales Representative,2,Seattle,United States of America,Washington,1996/11/05 00:00:00.000000000,United Package,19961101,1996/11/01 00:00:00.000000000,1996,November,Q4,1,32.0,70,0.25,23.29,2240
264,99,17,Alice Mutton,Meat/Poultry,Discontinued,65,Rattlesnake Canyon Grocery,Assistant Sales Representative,10,"Pavlova, Ltd.",3,Ms. Janet Leverling,Sales Representative,3,Albuquerque,United States of America,New Mexico,1996/11/08 00:00:00.000000000,Federal Shipping,19961105,1996/11/05 00:00:00.000000000,1996,November,Q4,5,31.2,36,0.1,142.08,1116
265,99,56,Gnocchi di nonna Alice,Grains/Cereals,Not Discontinued,65,Rattlesnake Canyon Grocery,Assistant Sales Representative,26,Pasta Buttini s.r.l.,3,Ms. Janet Leverling,Sales Representative,3,Albuquerque,United States of America,New Mexico,1996/11/08 00:00:00.000000000,Federal Shipping,19961105,1996/11/05 00:00:00.000000000,1996,November,Q4,5,30.4,20,0.0,142.08,600
272,102,54,Tourtière,Meat/Poultry,Not Discontinued,75,Split Rail Beer & Ale,Sales Manager,25,Ma Maison,7,Mr. Robert King,Sales Representative,1,Lander,United States of America,Wyoming,1996/11/15 00:00:00.000000000,Speedy Express,19961108,1996/11/08 00:00:00.000000000,1996,November,Q4,8,5.9,24,0.0,8.63,144
325,122,29,Thüringer Rostbratwurst,Meat/Poultry,Discontinued,75,Split Rail Beer & Ale,Sales Manager,3,Plutzer Lebensmittelgroßmärkte AG,8,Ms. Laura Callahan,Inside Sales Coordinator,2,Lander,United States of America,Wyoming,1996/12/09 00:00:00.000000000,United Package,19961202,1996/12/02 00:00:00.000000000,1996,December,Q4,2,99.0,20,0.0,195.68,1980
326,122,56,Gnocchi di nonna Alice,Grains/Cereals,Not Discontinued,75,Split Rail Beer & Ale,Sales Manager,26,Pasta Buttini s.r.l.,8,Ms. Laura Callahan,Inside Sales Coordinator,2,Lander,United States of America,Wyoming,1996/12/09 00:00:00.000000000,United Package,19961202,1996/12/02 00:00:00.000000000,1996,December,Q4,2,30.4,18,0.25,195.68,540
339,128,14,Tofu,Produce,Not Discontinued,36,Hungry Coyote Import Store,Sales Representative,2,Mayumi's,3,Ms. Janet Leverling,Sales Representative,2,Elgin,United States of America,Oregon,1996/12/09 00:00:00.000000000,United Package,19961206,1996/12/06 00:00:00.000000000,1996,December,Q4,6,18.6,15,0.0,20.12,285
340,128,54,Tourtière,Meat/Poultry,Not Discontinued,36,Hungry Coyote Import Store,Sales Representative,25,Ma Maison,3,Ms. Janet Leverling,Sales Representative,2,Elgin,United States of America,Oregon,1996/12/09 00:00:00.000000000,United Package,19961206,1996/12/06 00:00:00.000000000,1996,December,Q4,6,5.9,10,0.0,20.12,60
363,138,7,Uncle Bob's Organic Dried Pears,Produce,Not Discontinued,75,Split Rail Beer & Ale,Sales Manager,7,Grandma Kelly's Homestead,1,Ms. Nancy Davolio,Sales Representative,2,Lander,United States of America,Wyoming,1996/12/23 00:00:00.000000000,United Package,19961217,1996/12/17 00:00:00.000000000,1996,December,Q4,17,24.0,10,0.2,30.96,240
364,138,60,Camembert Pierrot,Dairy Products,Not Discontinued,75,Split Rail Beer & Ale,Sales Manager,28,Gai pâturage,1,Ms. Nancy Davolio,Sales Representative,2,Lander,United States of America,Wyoming,1996/12/23 00:00:00.000000000,United Package,19961217,1996/12/17 00:00:00.000000000,1996,December,Q4,17,27.2,20,0.2,30.96,540
365,138,68,Scottish Longbreads,Confections,Not Discontinued,75,Split Rail Beer & Ale,Sales Manager,11,"Specialty Biscuits, Ltd.",1,Ms. Nancy Davolio,Sales Representative,2,Lander,United States of America,Wyoming,1996/12/23 00:00:00.000000000,United Package,19961217,1996/12/17 00:00:00.000000000,1996,December,Q4,17,10.0,8,0.2,30.96,80
385,146,2,Chang,Beverages,Discontinued,71,Save-a-lot Markets,Sales Representative,6,Exotic Liquids,1,Ms. Nancy Davolio,Sales Representative,3,Boise,United States of America,Idaho,1997/01/03 00:00:00.000000000,Federal Shipping,19961225,1996/12/25 00:00:00.000000000,1996,December,Q4,25,15.2,25,0.25,126.56,375
386,146,14,Tofu,Produce,Not Discontinued,71,Save-a-lot Markets,Sales Representative,2,Mayumi's,1,Ms. Nancy Davolio,Sales Representative,3,Boise,United States of America,Idaho,1997/01/03 00:00:00.000000000,Federal Shipping,19961225,1996/12/25 00:00:00.000000000,1996,December,Q4,25,18.6,42,0.25,126.56,798
387,146,25,NuNuCa Nuß-Nougat-Creme,Confections,Not Discontinued,71,Save-a-lot Markets,Sales Representative,14,Heli Süßwaren GmbH & Co. KG,1,Ms. Nancy Davolio,Sales Representative,3,Boise,United States of America,Idaho,1997/01/03 00:00:00.000000000,Federal Shipping,19961225,1996/12/25 00:00:00.000000000,1996,December,Q4,25,11.2,7,0.25,126.56,77
388,146,26,Gumbär Gummibärchen,Confections,Not Discontinued,71,Save-a-lot Markets,Sales Representative,14,Heli Süßwaren GmbH & Co. KG,1,Ms. Nancy Davolio,Sales Representative,3,Boise,United States of America,Idaho,1997/01/03 00:00:00.000000000,Federal Shipping,19961225,1996/12/25 00:00:00.000000000,1996,December,Q4,25,24.9,70,0.25,126.56,1750
389,146,31,Gorgonzola Telino,Dairy Products,Not Discontinued,71,Save-a-lot Markets,Sales Representative,4,Formaggi Fortini s.r.l.,1,Ms. Nancy Davolio,Sales Representative,3,Boise,United States of America,Idaho,1997/01/03 00:00:00.000000000,Federal Shipping,19961225,1996/12/25 00:00:00.000000000,1996,December,Q4,25,10.0,32,0.0,126.56,320
390,147,13,Konbu,Seafood,Not Discontinued,36,Hungry Coyote Import Store,Sales Representative,2,Mayumi's,1,Ms. Nancy Davolio,Sales Representative,3,Elgin,United States of America,Oregon,1997/01/03 00:00:00.000000000,Federal Shipping,19961225,1996/12/25 00:00:00.000000000,1996,December,Q4,25,4.8,10,0.0,30.34,50
391,147,62,Tarte au sucre,Confections,Not Discontinued,36,Hungry Coyote Import Store,Sales Representative,29,Forêts d'érables,1,Ms. Nancy Davolio,Sales Representative,3,Elgin,United States of America,Oregon,1997/01/03 00:00:00.000000000,Federal Shipping,19961225,1996/12/25 00:00:00.000000000,1996,December,Q4,25,39.4,10,0.0,30.34,390
400,151,35,Steeleye Stout,Beverages,Not Discontinued,71,Save-a-lot Markets,Sales Representative,17,Bigfoot Breweries,2,Dr. Andrew Fuller,"Vice President, Sales",3,Boise,United States of America,Idaho,1997/01/09 00:00:00.000000000,Federal Shipping,19961230,1996/12/30 00:00:00.000000000,1996,December,Q4,30,14.4,30,0.0,89.16,420
401,151,55,Pâté chinois,Meat/Poultry,Not Discontinued,71,Save-a-lot Markets,Sales Representative,25,Ma Maison,2,Dr. Andrew Fuller,"Vice President, Sales",3,Boise,United States of America,Idaho,1997/01/09 00:00:00.000000000,Federal Shipping,19961230,1996/12/30 00:00:00.000000000,1996,December,Q4,30,19.2,120,0.1,89.16,2280
409,154,30,Nord-Ost Matjeshering,Seafood,Not Discontinued,65,Rattlesnake Canyon Grocery,Assistant Sales Representative,15,Nord-Ost-Fisch Handelsgesellschaft mbH,1,Ms. Nancy Davolio,Sales Representative,1,Albuquerque,United States of America,New Mexico,1997/01/10 00:00:00.000000000,Speedy Express,19970101,1997/01/01 00:00:00.000000000,1997,January,Q1,1,20.7,18,0.0,12.51,378
410,154,56,Gnocchi di nonna Alice,Grains/Cereals,Not Discontinued,65,Rattlesnake Canyon Grocery,Assistant Sales Representative,26,Pasta Buttini s.r.l.,1,Ms. Nancy Davolio,Sales Representative,1,Albuquerque,United States of America,New Mexico,1997/01/10 00:00:00.000000000,Speedy Express,19970101,1997/01/01 00:00:00.000000000,1997,January,Q1,1,30.4,70,0.0,12.51,2100
411,154,65,Louisiana Fiery Hot Pepper Sauce,Condiments,Not Discontinued,65,Rattlesnake Canyon Grocery,Assistant Sales Representative,1,New Orleans Cajun Delights,1,Ms. Nancy Davolio,Sales Representative,1,Albuquerque,United States of America,New Mexico,1997/01/10 00:00:00.000000000,Speedy Express,19970101,1997/01/01 00:00:00.000000000,1997,January,Q1,1,16.8,20,0.0,12.51,340
412,154,71,Flotemysost,Dairy Products,Not Discontinued,65,Rattlesnake Canyon Grocery,Assistant Sales Representative,16,Norske Meierier,1,Ms. Nancy Davolio,Sales Representative,1,Albuquerque,United States of America,New Mexico,1997/01/10 00:00:00.000000000,Speedy Express,19970101,1997/01/01 00:00:00.000000000,1997,January,Q1,1,17.2,60,0.0,12.51,1020
445,168,17,Alice Mutton,Meat/Poultry,Discontinued,36,Hungry Coyote Import Store,Sales Representative,10,"Pavlova, Ltd.",3,Ms. Janet Leverling,Sales Representative,1,Elgin,United States of America,Oregon,1997/01/24 00:00:00.000000000,Speedy Express,19970115,1997/01/15 00:00:00.000000000,1997,January,Q1,15,31.2,2,0.0,0.2,62
446,168,33,Geitost,Dairy Products,Not Discontinued,36,Hungry Coyote Import Store,Sales Representative,16,Norske Meierier,3,Ms. Janet Leverling,Sales Representative,1,Elgin,United States of America,Oregon,1997/01/24 00:00:00.000000000,Speedy Express,19970115,1997/01/15 00:00:00.000000000,1997,January,Q1,15,2.0,20,0.0,0.2,40
489,185,26,Gumbär Gummibärchen,Confections,Not Discontinued,75,Split Rail Beer & Ale,Sales Manager,14,Heli Süßwaren GmbH & Co. KG,3,Ms. Janet Leverling,Sales Representative,2,Lander,United States of America,Wyoming,1997/02/07 00:00:00.000000000,United Package,19970131,1997/01/31 00:00:00.000000000,1997,January,Q1,31,24.9,10,0.0,4.34,250
490,185,54,Tourtière,Meat/Poultry,Not Discontinued,75,Split Rail Beer & Ale,Sales Manager,25,Ma Maison,3,Ms. Janet Leverling,Sales Representative,2,Lander,United States of America,Wyoming,1997/02/07 00:00:00.000000000,United Package,19970131,1997/01/31 00:00:00.000000000,1997,January,Q1,31,5.9,40,0.0,4.34,240
509,193,2,Chang,Beverages,Discontinued,71,Save-a-lot Markets,Sales Representative,6,Exotic Liquids,4,Mrs. Margaret Peacock,Sales Representative,2,Boise,United States of America,Idaho,1997/02/28 00:00:00.000000000,United Package,19970210,1997/02/10 00:00:00.000000000,1997,February,Q1,10,15.2,45,0.15,86.53,675
510,193,16,Pavlova,Confections,Not Discontinued,71,Save-a-lot Markets,Sales Representative,10,"Pavlova, Ltd.",4,Mrs. Margaret Peacock,Sales Representative,2,Boise,United States of America,Idaho,1997/02/28 00:00:00.000000000,United Package,19970210,1997/02/10 00:00:00.000000000,1997,February,Q1,10,13.9,49,0.15,86.53,686
511,193,29,Thüringer Rostbratwurst,Meat/Poultry,Discontinued,71,Save-a-lot Markets,Sales Representative,3,Plutzer Lebensmittelgroßmärkte AG,4,Mrs. Margaret Peacock,Sales Representative,2,Boise,United States of America,Idaho,1997/02/28 00:00:00.000000000,United Package,19970210,1997/02/10 00:00:00.000000000,1997,February,Q1,10,99.0,24,0.15,86.53,2376
512,193,61,Sirop d'érable,Condiments,Not Discontinued,71,Save-a-lot Markets,Sales Representative,29,Forêts d'érables,4,Mrs. Margaret Peacock,Sales Representative,2,Boise,United States of America,Idaho,1997/02/28 00:00:00.000000000,United Package,19970210,1997/02/10 00:00:00.000000000,1997,February,Q1,10,22.8,90,0.15,86.53,2070
513,194,27,Schoggi Schokolade,Confections,Not Discontinued,55,Old World Delicatessen,Sales Representative,14,Heli Süßwaren GmbH & Co. KG,3,Ms. Janet Leverling,Sales Representative,2,Anchorage,United States of America,Alaska,1997/03/14 00:00:00.000000000,United Package,19970210,1997/02/10 00:00:00.000000000,1997,February,Q1,10,35.1,50,0.0,73.02,1750
543,205,28,Rössle Sauerkraut,Produce,Discontinued,71,Save-a-lot Markets,Sales Representative,3,Plutzer Lebensmittelgroßmärkte AG,8,Ms. Laura Callahan,Inside Sales Coordinator,1,Boise,United States of America,Idaho,1997/02/26 00:00:00.000000000,Speedy Express,19970220,1997/02/20 00:00:00.000000000,1997,February,Q1,20,36.4,15,0.0,140.26,540
544,205,44,Gula Malacca,Condiments,Not Discontinued,71,Save-a-lot Markets,Sales Representative,21,Leka Trading,8,Ms. Laura Callahan,Inside Sales Coordinator,1,Boise,United States of America,Idaho,1997/02/26 00:00:00.000000000,Speedy Express,19970220,1997/02/20 00:00:00.000000000,1997,February,Q1,20,15.5,100,0.05,140.26,1600
589,222,2,Chang,Beverages,Discontinued,89,White Clover Markets,Owner,6,Exotic Liquids,1,Ms. Nancy Davolio,Sales Representative,1,Seattle,United States of America,Washington,1997/03/14 00:00:00.000000000,Speedy Express,19970310,1997/03/10 00:00:00.000000000,1997,March,Q1,10,15.2,40,0.15,60.18,600
590,222,16,Pavlova,Confections,Not Discontinued,89,White Clover Markets,Owner,10,"Pavlova, Ltd.",1,Ms. Nancy Davolio,Sales Representative,1,Seattle,United States of America,Washington,1997/03/14 00:00:00.000000000,Speedy Express,19970310,1997/03/10 00:00:00.000000000,1997,March,Q1,10,13.9,35,0.15,60.18,490
